tt0	tt1	status	gates	wall_s	chain
06	28	sat	12	120.60	F0 = n11 ; F0N = n9 ; F1 = n6 ; F1N = n10 ; n11 = cN & n8 ; n10 = aN | n8 ; n9 = c | n5 ; n8 = n1 | n7 ; n7 = bN & n2 ; n6 = a & n5 ; n5 = n3 & n4 ; n4 = b | n0 ; n3 = bN | n2 ; n2 = a & cN ; n1 = b & n0 ; n0 = aN | c
06	2a	sat	12	108.43	F0 = n10 ; F0N = n9 ; F1 = n11 ; F1N = n3 ; n11 = a & n6 ; n10 = cN & n7 ; n9 = c | n8 ; n8 = n0 & n6 ; n7 = n2 & n4 ; n6 = bN | n5 ; n5 = a & cN ; n4 = a | b ; n3 = n0 & n2 ; n2 = aN | n1 ; n1 = bN | c ; n0 = aN | b
06	2c	sat	13	144.39	F0 = n8 ; F0N = n11 ; F1 = n4 ; F1N = n12 ; n12 = n3 | n10 ; n11 = n6 | n10 ; n10 = n5 | n9 ; n9 = b & c ; n8 = n3 | n7 ; n7 = aN & n4 ; n6 = a & n4 ; n5 = aN & bN ; n4 = n0 & n2 ; n3 = cN & n1 ; n2 = cN | n1 ; n1 = a & bN ; n0 = b | c
06	2e	sat	12	123.52	F0 = n5 ; F0N = n11 ; F1 = n9 ; F1N = n6 ; n11 = n7 & n10 ; n10 = c | n3 ; n9 = n1 & n8 ; n8 = bN | cN ; n7 = a | n0 ; n6 = n0 & n3 ; n5 = cN & n4 ; n4 = n1 & n2 ; n3 = aN | b ; n2 = aN | n0 ; n1 = a | b ; n0 = bN | c
06	30	sat	10	11.86	F0 = n9 ; F0N = n8 ; F1 = n1 ; F1N = n7 ; n9 = cN & n6 ; n8 = n3 | n5 ; n7 = b | cN ; n6 = n0 | n4 ; n5 = c | n2 ; n4 = aN & b ; n3 = aN & bN ; n2 = a & b ; n1 = bN & c ; n0 = a & bN
06	32	sat	10	5.04	F0 = n7 ; F0N = n9 ; F1 = n1 ; F1N = n5 ; n9 = c | n8 ; n8 = n2 & n5 ; n7 = n4 | n6 ; n6 = b & n3 ; n5 = b | n3 ; n4 = cN & n1 ; n3 = aN & cN ; n2 = a | bN ; n1 = bN & n0 ; n0 = a | c
06	34	sat	13	140.71	F0 = n12 ; F0N = n7 ; F1 = n8 ; F1N = n11 ; n12 = n4 | n10 ; n11 = n5 | n9 ; n10 = a & n9 ; n9 = bN & cN ; n8 = n2 | n4 ; n7 = n3 | n6 ; n6 = aN & bN ; n5 = b & n3 ; n4 = aN & n0 ; n3 = c | n1 ; n2 = bN & c ; n1 = a & b ; n0 = b & cN
06	36	sat	10	1.24	F0 = n7 ; F0N = n9 ; F1 = n4 ; F1N = n8 ; n9 = c | n8 ; n8 = n5 | n6 ; n7 = cN & n4 ; n6 = bN & n0 ; n5 = b & n2 ; n4 = n1 & n3 ; n3 = b | n2 ; n2 = a | c ; n1 = bN | n0 ; n0 = aN & cN
06	38	sat	12	90.48	F0 = n4 ; F0N = n11 ; F1 = n10 ; F1N = n6 ; n11 = n8 | n9 ; n10 = n7 & n9 ; n9 = c | n3 ; n8 = aN & bN ; n7 = bN | cN ; n6 = n2 | n5 ; n5 = b & c ; n4 = n0 & n2 ; n3 = a & b ; n2 = cN & n1 ; n1 = aN | bN ; n0 = a | b
06	3a	sat	13	157.05	F0 = n12 ; F0N = n9 ; F1 = n10 ; F1N = n8 ; n12 = n6 & n11 ; n11 = bN | n3 ; n10 = n0 | n2 ; n9 = n5 | n7 ; n8 = n1 | n3 ; n7 = aN & bN ; n6 = b | n2 ; n5 = c | n4 ; n4 = a & b ; n3 = aN & cN ; n2 = a & cN ; n1 = b & c ; n0 = bN & c
06	3c	sat	13	140.86	F0 = n7 ; F0N = n10 ; F1 = n12 ; F1N = n3 ; n12 = n8 & n11 ; n11 = bN | cN ; n10 = n6 & n9 ; n9 = aN | n8 ; n8 = b | c ; n7 = cN & n5 ; n6 = a | n1 ; n5 = n0 | n4 ; n4 = a & bN ; n3 = n1 & n2 ; n2 = b | cN ; n1 = bN | c ; n0 = aN & b
06	60	sat	10	6.98	F0 = n7 ; F0N = n5 ; F1 = n9 ; F1N = n8 ; n9 = c & n6 ; n8 = cN | n4 ; n7 = cN & n6 ; n6 = n2 | n3 ; n5 = c | n4 ; n4 = n0 | n1 ; n3 = a & bN ; n2 = aN & b ; n1 = a & b ; n0 = aN & bN
06	62	sat	12	80.51	F0 = n11 ; F0N = n7 ; F1 = n10 ; F1N = n6 ; n11 = n2 | n9 ; n10 = n3 | n8 ; n9 = cN & n8 ; n8 = a & bN ; n7 = c | n5 ; n6 = n2 | n5 ; n5 = n0 | n4 ; n4 = aN & bN ; n3 = c & n1 ; n2 = cN & n1 ; n1 = aN & b ; n0 = a & b
06	66	sat	8	0.21	F0 = n7 ; F0N = n6 ; F1 = n4 ; F1N = n5 ; n7 = cN & n4 ; n6 = c | n5 ; n5 = n1 | n2 ; n4 = n0 & n3 ; n3 = aN | bN ; n2 = aN & bN ; n1 = a & b ; n0 = a | b
06	68	sat	13	144.66	F0 = n12 ; F0N = n3 ; F1 = n8 ; F1N = n11 ; n12 = n4 & n9 ; n11 = n9 | n10 ; n10 = c & n2 ; n9 = cN & n6 ; n8 = n5 & n7 ; n7 = cN | n6 ; n6 = aN | bN ; n5 = n3 & n4 ; n4 = a | b ; n3 = c | n2 ; n2 = n0 & n1 ; n1 = aN | b ; n0 = a | bN
