tt0	tt1	status	gates	wall_s	chain
06	ac	sat	6	0.08	F0 =  E ; F1 =  F ; F = !A  &  !D ; E = !B  &  !D ; D = !a  &  !C ; C = !c  &  !A ; B =  a  &  !A ; A = !b  &  !c
06	b0	sat	5	0.05	F0 =  E ; F1 =  C ; E = !c  &  !D ; D = !A  &  !B ; C =  c  &  !A ; B =  a  &  !b ; A = !a  &   b
06	b2	sat	6	0.09	F0 =  E ; F1 =  F ; F = !C  &  !D ; E = !c  &  !D ; D =  B  &  !C ; C = !a  &   b ; B = !c  &  !A ; A =  a  &  !b
06	b4	sat	7	0.22	F0 =  F ; F1 = !G ; G = !B  &  !C ; F = !c  &  !E ; E = !B  &  !D ; D =  a  &  !b ; C =  c  &  !A ; B = !c  &   A ; A = !a  &   b
06	b6	sat	6	0.08	F0 =  D ; F1 = !F ; F = !D  &  !E ; E =  c  &  !B ; D = !c  &  !C ; C = !A  &  !B ; B = !a  &   b ; A =  a  &  !b
06	f0	sat	4	0.03	F0 =  D ; F1 =  c ; D =  B  &  !C ; C = !a  &  !b ; B = !c  &  !A ; A =  a  &   b
06	f2	sat	5	0.06	F0 =  E ; F1 = !D ; E = !c  &  !C ; D = !c  &  !B ; C = !A  &  !B ; B =  a  &  !b ; A = !a  &   b
06	f6	sat	5	0.05	F0 =  E ; F1 = !D ; E = !c  &  !D ; D = !B  &   C ; C = !c  &  !A ; B = !a  &   b ; A =  a  &  !b
0a	0a	sat	1	0.01	F0 =  A ; F1 =  A ; A =  a  &  !c
0a	0c	sat	2	0.01	F0 =  A ; F1 =  B ; B =  b  &  !c ; A =  a  &  !c
0a	0e	sat	3	0.02	F0 =  A ; F1 = !C ; C = !A  &  !B ; B =  b  &  !c ; A =  a  &  !c
0a	16	sat	7	0.26	F0 =  E ; F1 =  G ; G = !D  &  !F ; F = !B  &  !C ; E = !c  &  !C ; D = !b  &   C ; C = !a  &  !c ; B = !b  &  !A ; A =  a  &   c
0a	18	sat	5	0.05	F0 =  C ; F1 =  E ; E = !A  &  !D ; D = !B  &  !C ; C =  a  &  !c ; B = !b  &   c ; A =  a  &  !b
0a	1a	sat	4	0.03	F0 =  A ; F1 = !D ; D = !A  &  !C ; C = !a  &   B ; B = !b  &   c ; A =  a  &  !c
0a	1c	sat	5	0.05	F0 =  D ; F1 =  E ; E = !B  &  !C ; D =  a  &  !c ; C =  c  &  !A ; B = !b  &  !c ; A = !a  &  !b
0a	1e	sat	5	0.05	F0 =  A ; F1 =  E ; E = !C  &  !D ; D = !c  &   B ; C =  c  &  !B ; B = !a  &  !b ; A =  a  &  !c
0a	24	sat	5	0.05	F0 =  B ; F1 =  E ; E = !C  &   D ; D = !A  &  !B ; C =  b  &   c ; B =  a  &  !c ; A = !a  &  !b
0a	26	sat	5	0.05	F0 =  B ; F1 = !E ; E = !A  &  !D ; D = !c  &   C ; C =  b  &  !B ; B =  a  &  !c ; A =  a  &  !b
0a	2e	sat	4	0.03	F0 =  A ; F1 = !D ; D = !B  &  !C ; C =  b  &  !c ; B =  a  &  !b ; A =  a  &  !c
0a	30	sat	2	0.01	F0 =  A ; F1 =  B ; B = !b  &   c ; A =  a  &  !c
0a	32	sat	3	0.02	F0 =  A ; F1 =  C ; C = !b  &  !B ; B = !c  &  !A ; A =  a  &  !c
